id;localized_name;name;Carry;Initiator;Durable;Nuker;Support;Disabler;Pusher;Escape;Jungler
33;Enigma;enigma;0;2;0;0;0;0;2;2;0
41;Faceless Void;faceless_void;3;2;0;0;0;0;1;0;0
72;Gyrocopter;gyrocopter;0;1;0;1;0;0;1;0;0
59;Huskar;huskar;1;1;1;0;0;0;0;0;0
74;Invoker;invoker;1;1;0;1;0;0;0;0;0
64;Jakiro;jakiro;0;0;0;2;0;2;1;2;0
8;Juggernaut;juggernaut;2;0;0;0;0;0;0;1;0
90;Keeper of the Light;keeper_of_the_light;0;0;0;2;2;2;0;0;0
23;Kunkka;kunkka;1;1;1;0;0;0;1;0;0
104;Legion Commander;legion_commander;1;0;2;0;0;0;0;0;0
52;Leshrac;leshrac;0;0;0;3;1;0;1;3;0
31;Lich;lich;0;0;0;2;3;3;0;0;0
54;Lifestealer;life_stealer;2;0;2;0;0;0;0;0;1
25;Lina;lina;0;0;0;3;1;0;1;0;0
26;Lion;lion;0;0;0;3;2;2;3;0;0
80;Lone Druid;lone_druid;2;0;2;0;0;0;0;2;0
48;Luna;luna;2;0;0;2;0;0;0;0;0
77;Lycanthrope;lycan;2;0;1;0;0;0;0;2;0
97;Magnus;magnataur;1;3;0;1;0;0;1;0;0
94;Medusa;medusa;3;0;0;0;0;0;0;0;0
82;Meepo;meepo;1;1;0;0;0;0;1;0;0
9;Mirana;mirana;1;0;0;1;0;0;1;0;0
10;Morphling;morphling;3;1;0;1;0;0;0;0;0
89;Naga Siren;naga_siren;2;0;0;0;0;0;2;1;0
53;Nature's Prophet;furion;1;0;0;0;0;0;0;2;1
36;Necrophos;necrolyte;2;0;2;0;0;0;0;0;0
60;Night Stalker;night_stalker;0;1;2;0;0;0;0;0;0
88;Nyx Assassin;nyx_assassin;0;0;0;2;0;0;2;0;0
84;Ogre Magi;ogre_magi;0;0;1;2;0;0;2;0;0
57;Omniknight;omniknight;0;0;2;0;1;1;0;0;0
111;Oracle;oracle;0;0;0;1;3;1;0;0;0
76;Outworld Devourer;obsidian_destroyer;2;0;0;0;0;0;0;0;0
44;Phantom Assassin;phantom_assassin;3;0;0;0;0;0;0;0;0
12;Phantom Lancer;phantom_lancer;2;0;0;0;0;0;0;1;0
110;Phoenix;phoenix;0;3;0;3;0;0;2;0;0
13;Puck;puck;0;2;0;2;0;0;1;0;0
14;Pudge;pudge;0;0;3;0;0;0;1;0;0
45;Pugna;pugna;0;0;0;2;1;0;0;1;0
39;Queen of Pain;queenofpain;1;0;0;3;0;0;0;0;0
15;Razor;razor;1;0;1;1;0;0;0;0;0
32;Riki;riki;2;0;0;0;0;0;0;0;0
86;Rubick;rubick;0;0;0;2;0;0;2;0;0
16;Sand King;sand_king;0;3;0;1;0;0;2;0;0
79;Shadow Demon;shadow_demon;0;0;0;1;1;0;1;0;0
11;Shadow Fiend;nevermore;2;0;0;2;0;0;0;0;0
27;Shadow Shaman;shadow_shaman;0;0;0;1;1;0;3;3;0
75;Silencer;silencer;1;1;0;0;1;0;0;0;0
42;Skeleton King;skeleton_king;2;0;3;0;0;0;2;0;0
101;Skywrath Mage;skywrath_mage;0;0;0;3;1;0;0;0;0
28;Slardar;slardar;2;1;2;0;0;0;1;0;0
93;Slark;slark;2;0;0;1;0;0;0;1;0
35;Sniper;sniper;2;0;0;0;0;0;0;0;0
67;Spectre;spectre;3;0;1;0;0;0;0;0;0
71;Spirit Breaker;spirit_breaker;1;1;2;0;0;0;1;0;0
17;Storm Spirit;storm_spirit;2;2;0;0;0;0;1;0;0
18;Sven;sven;1;1;0;0;1;0;2;0;0
105;Techies;techies;0;0;0;3;0;2;0;0;0
46;Templar Assassin;templar_assassin;2;0;0;0;0;0;0;0;0
109;Terrorblade;terrorblade;3;0;0;0;0;0;0;0;0
29;Tidehunter;tidehunter;0;3;3;0;1;0;2;0;0
98;Timbersaw;shredder;0;0;2;1;0;0;0;0;0
34;Tinker;tinker;0;0;0;3;0;0;0;1;0
19;Tiny;tiny;0;1;1;2;0;0;2;0;0
83;Treant Protector;treant;0;2;2;0;0;2;1;0;0
95;Troll Warlord;troll_warlord;3;0;0;0;0;0;0;0;0
100;Tusk;tusk;0;1;1;0;0;0;0;0;0
85;Undying;undying;0;1;2;0;0;0;1;1;0
70;Ursa;ursa;2;0;1;0;0;0;0;0;0
20;Vengeful Spirit;vengefulspirit;0;1;0;0;2;1;2;0;0
40;Venomancer;venomancer;0;1;0;1;2;0;0;1;0
47;Viper;viper;1;0;1;0;0;0;0;0;0
92;Visage;visage;0;0;2;2;0;0;1;0;0
37;Warlock;warlock;0;2;0;0;2;2;1;0;0
63;Weaver;weaver;2;0;0;0;0;0;0;0;0
21;Windranger;windrunner;0;0;0;1;1;0;1;0;0
112;Winter Wyvern;winter_wyvern;0;0;0;1;2;2;0;0;0
91;Wisp;wisp;0;0;0;1;3;2;0;0;0
30;Witch Doctor;witch_doctor;0;0;0;0;2;0;1;0;0
22;Zeus;zuus;0;0;0;3;1;0;0;0;0
